TYPE,PRICE,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE
Condo for sale,235000,1.0,860,New York,Staten Island,40.6192765,-74.09515
Multi-family home for sale,950000,6.0,2178,United States,Queens County,40.7000145,-73.9010076
Multi-family home for sale,1088888,2.0,2189,United States,Queens County,40.7860789,-73.7928524
House for sale,1250000,4.0,3300,United States,Richmond County,40.5675492,-74.140764
Land for sale,650000,2.5,2178,United States,Kings County,40.6799197,-73.8839962
House for sale,774888,2.0,960,United States,Richmond County,40.5525576,-74.1709014
Co-op for sale,105509,1.0,650,New York,The Bronx,40.879078,-73.9175196
Multi-family home for sale,995000,2.0,2188,United States,Kings County,40.6862289,-73.9364224
House for sale,769000,2.0,1728,United States,Bronx County,40.8152029,-73.8154969
For sale,975000,2.0,900,New York,New York,40.7585686,-73.9669708
House for sale,499999,1.0,1744,United States,Bronx County,40.8549429,-73.7908303
Co-op for sale,365000,1.0,2179,New York,Queens,40.7083799,-73.8290102
House for sale,635000,2.0,2166,United States,Queens County,40.6933533,-73.7503369
House for sale,1099000,2.0,1760,United States,Queens County,40.6481943,-73.8452374
Land for sale,3950000,2.5,2191,United States,Richmond County,40.525422,-74.166603
Multi-family home for sale,1529999,5.0,2400,United States,Queens County,40.6780476,-73.8056181
House for sale,675000,1.0,1404,United States,Richmond County,40.6333513,-74.1021333
House for sale,2650000,6.0,2187,United States,Queens County,40.660323,-73.8455929
House for sale,420000,1.0,2180,United States,Queens County,40.6784764,-73.8476859
Townhouse for sale,559900,2.0,980,United States,Richmond County,40.5132339,-74.1959753
House for sale,549000,1.0,2161,United States,Queens County,40.6776809,-73.8166457
Land for sale,999000,2.0,950,United States,Queens County,40.7644631,-73.8297531
Land for sale,790000,2.5,2197,United States,Queens County,40.7827104,-73.8457691
House for sale,2295000,4.0,3632,United States,New York County,40.8180374,-73.9436858
House for sale,1150000,4.0,3000,United States,Richmond County,40.5343966,-74.1582874
Townhouse for sale,13995000,2.5,9026,United States,Kings County,40.6712528,-73.9716506
Land for sale,6100000,2.5,2161,United States,Kings County,40.6685186,-73.9175924
Land for sale,350000,2.5,2187,United States,Kings County,40.6753179,-73.9008593
Land for sale,450000,2.5,2178,United States,Bronx County,40.89582,-73.9110766
Land for sale,2999999,2.5,2207,United States,Queens County,40.7051444,-73.8030054
Land for sale,2500000,2.5,2189,United States,Kings County,40.578639,-73.965449
Land for sale,350000,2.5,2200,United States,Kings County,40.5844107,-73.9380366
